processo_25,id
480,0025942-34.2025.8.16.0035
481,0003806-62.2025.8.16.0158
482,0013414-56.2025.8.16.0038
483,0012866-46.2025.8.16.0130
484,0003138-45.2025.8.16.0141
485,0003747-96.2025.8.16.0086
486,0077737-45.2025.8.16.0014
487,0080326-10.2025.8.16.0014
488,0013348-76.2025.8.16.0038
489,0078629-51.2025.8.16.0014
490,0011405-07.2025.8.16.0173
491,0050650-95.2025.8.16.0182
492,0015704-27.2025.8.16.0173
493,0048213-81.2025.8.16.0182
494,0043534-36.2025.8.16.0021
495,0011295-15.2019.8.16.0174
496,0011365-25.2025.8.16.0173
497,0051935-24.2025.8.16.0021
498,0005357-57.2016.8.16.0105
499,0001693-09.2024.8.16.0179
500,0077225-07.2025.8.16.0000
501,0018315-65.2018.8.16.0021
502,0000842-20.2020.8.16.0143
503,0000547-11.2023.8.16.0035
504,0066682-42.2025.8.16.0000
505,0006111-71.2025.8.16.9000
506,0001018-16.2025.8.16.0113
507,0005631-03.2024.8.16.0182
508,0047744-33.2025.8.16.0021
509,0012333-14.2025.8.16.0025
510,0003701-88.2024.8.16.0136
511,0002465-25.2025.8.16.0053
512,0005832-85.2025.8.16.9000
513,0023467-86.2024.8.16.0182
514,0048303-26.2024.8.16.0182
515,0034279-95.2021.8.16.0182
516,0007722-59.2025.8.16.9000
517,0058288-38.2024.8.16.0014
518,0006101-27.2025.8.16.9000
519,0082364-29.2024.8.16.0014
520,0006534-27.2025.8.16.0045
521,0006895-48.2025.8.16.9000
522,0007711-30.2025.8.16.9000
523,0007731-21.2025.8.16.9000
524,0046613-86.2025.8.16.0000
525,0012921-58.2025.8.16.0045
526,0012324-37.2025.8.16.0030
527,0088469-30.2025.8.16.0000
528,0008971-45.2025.8.16.0173
529,0007988-85.2025.8.16.0160
530,0003759-85.2025.8.16.0159
531,0151528-89.2025.8.16.0000
532,0006708-02.2025.8.16.0024
533,0110909-20.2025.8.16.0000
534,0010092-43.2025.8.16.0033
535,0065155-13.2025.8.16.0014
536,0015836-52.2007.8.16.0129
537,0127449-46.2025.8.16.0000
538,0002181-49.2017.8.16.0133
539,0044587-45.2025.8.16.0185
540,0151359-05.2025.8.16.0000
541,0004411-14.2022.8.16.0190
542,0006243-05.2023.8.16.0075
543,0149173-09.2025.8.16.0000
544,0013435-47.2025.8.16.0033
545,0135035-37.2025.8.16.0000
546,0103636-87.2025.8.16.0000
547,0007540-55.2018.8.16.0129
548,4005638-86.2025.8.16.4321
549,0150534-61.2025.8.16.0000
550,0114666-22.2025.8.16.0000
551,0148717-59.2025.8.16.0000
552,0151795-61.2025.8.16.0000
553,0150772-80.2025.8.16.0000
554,0113460-70.2025.8.16.0000
555,0109599-76.2025.8.16.0000
556,0058956-17.2025.8.16.0000
557,0150153-53.2025.8.16.0000
558,0150105-94.2025.8.16.0000
559,0146623-41.2025.8.16.0000
560,0149287-45.2025.8.16.0000
561,0138255-43.2025.8.16.0000
562,0030720-52.2025.8.16.0001
563,0093799-42.2024.8.16.0000
564,0117516-49.2025.8.16.0000
565,0150786-64.2025.8.16.0000
566,0150921-76.2025.8.16.0000
567,0144914-68.2025.8.16.0000
568,0150140-54.2025.8.16.0000
569,0001963-23.2025.8.16.0074
570,0073039-38.2025.8.16.0000
571,0070669-86.2025.8.16.0000
572,0018796-47.2025.8.16.0000
573,0020301-73.2025.8.16.0000
574,0113713-58.2025.8.16.0000
575,0133379-45.2025.8.16.0000
576,0149384-45.2025.8.16.0000
577,0006552-49.2025.8.16.0174
578,0004572-67.2025.8.16.0174
579,0006880-76.2025.8.16.0174
580,0051464-71.2025.8.16.0000
581,0118908-24.2025.8.16.0000
582,0017994-49.2025.8.16.0000
583,0144235-68.2025.8.16.0000
584,0001651-12.2024.8.16.0000
585,0143035-26.2025.8.16.0000
586,0032311-49.2025.8.16.0001
587,0043408-27.2013.8.16.0014
588,0098883-87.2025.8.16.0000
589,0076274-13.2025.8.16.0000
590,0011193-80.2025.8.16.0174
591,0067607-93.2025.8.16.0014
592,0116397-53.2025.8.16.0000
593,0003723-03.2025.8.16.0140
594,0001243-33.2024.8.16.0190
595,0151519-30.2025.8.16.0000
596,0150898-33.2025.8.16.0000
597,0004198-65.2024.8.16.0116
598,0146567-08.2025.8.16.0000
599,0006320-17.2025.8.16.0116
600,0148847-49.2025.8.16.0000
601,0117032-34.2025.8.16.0000
602,0112357-28.2025.8.16.0000
603,0148709-82.2025.8.16.0000
604,0126661-32.2025.8.16.0000
605,0114037-48.2025.8.16.0000
606,0151432-74.2025.8.16.0000
607,0142697-52.2025.8.16.0000
